name,RA,Dec,Grade,n_img,Separation,SLED_xmatch,Sav,pNetwork,isKnownLenses
J0924+0219,141.232582,2.323726,Median-score candidate,4,1.34,"CONFIRMED: SDSSJ0924+0219, Inada, Naohisa et al. (2003), SDSSJ0924+0219, Inada, Naohisa et al. (2008), SDSSJ0924+0219, Chan, James H. H. et al. (2020)",2.62,1,Lensed QSO
J0925-0142,141.438953,-1.715142,Lower-score candidates,2,1.8148,,1.67,0.9714,
J1001+0153,150.394734,1.888893,Lower-score candidates,2,,,1.67,0.9647,
J1031+0347,157.998663,3.799418,Median-score candidate,2,1.6543,,2,0.9819,
J1034+0345,158.618257,3.760268,Median-score candidate,2,1.2995,,2,0.9533,
J1037+0018,159.3665,0.3057,Median-score candidate,2,1.2451,"CONFIRMED:J1037+0018, Lemon, C. et al. (2022)",2,0.9908,Lensed QSO
J1042+0015,160.597316,0.255916,High-score candidate,4,1.4686,"CANDIDATE: J4J104223.370+001519.82, Li, R. et al. (2020), J4J104223.370+001519.82, Huang, X. et al. (2021),J160.59736+00.25589, Andika, I. et al. (2023)",2.67,0.9842,
J0326-3122,51.52828,-31.381518,Median-score candidate,2,1.342,"CANDIDATE: J0326-3122, Schechter, Paul L. et al. (2017), J0326-3122, Agnello, A. et al. (2018), J0326-3122, Dawes, C. et al. (2023), J0326-3122, He, Zizhao et al. (2023), J0326-3122, Lemon, C. et al. (2023)",2,0.9492,
J1044-0228,161.088709,-2.473542,Median-score candidate,2,1.325,,2,0.9917,
J1046-0153,161.670317,-1.886044,Median-score candidate,2,1.6779,,2,1,
J1046-0253,161.639406,-2.889607,Median-score candidate,2,1.0909,,2,0.97,
J1047-0329,161.8987,-3.495514,Median-score candidate,2,2.3509,,2,0.9987,
J1048-0119,162.091163,-1.317856,Lower-score candidates,2,1.5894,,2.33,0.9646,
J1053-0256,163.428159,-2.935041,Median-score candidate,2,2.0787,,2,0.9612,
J1056+0358,164.133368,3.980635,Lower-score candidates,2,2.4013,,1.67,0.9843,
J1056-0033,164.248888,-0.554551,Lower-score candidates,2,1.8063,,1.67,0.9657,
J1059+0129,164.959421,1.485695,Lower-score candidates,2,1.544,,1.67,0.9778,
J0848+0115,132.23371,1.261148,Lower-score candidates,2,1.3432,"CONTAMINANT: SDSSJ084856.08+011540.0, Inada, Naohisa et al. (2008), SDSSJ084856.08+011540.0, Spiniello, C. et al. (2018), SDSSJ084856.08+011540.0, Tang, Shenli et al. (2021)",2.33,1,
J1105-0153,166.485188,-1.886224,Lower-score candidates,2,1.6328,,1.67,0.9975,
J1119-0340,169.930986,-3.677849,Lower-score candidates,2,1.9198,,1.67,0.9577,
J1526+0151,231.630473,1.850901,Median-score candidate,2,1.3634,"CANDIDATE: SDSSJ1526+0151, Sergeyev, A. V. et al. (2016)",2.33,1,
J1123+0019,170.919768,0.326561,Lower-score candidates,2,1.0672,,1.67,0.9616,
J1125+0234,171.329192,2.581326,Lower-score candidates,2,1.195,,1.67,0.9545,
J1125-0328,171.367411,-3.467353,Lower-score candidates,2,1.8653,,1.67,0.9858,
J1127+0352,171.908916,3.871097,High-score candidate,4,1.98,,2.33,0.9756,
J1136+0228,174.057702,2.477539,Median-score candidate,2,1.7285,,2,0.989,
J1042+0023,160.655244,0.383727,High-score candidate,2,1.373,"CONFIRMED: KIDS1042+0023, Spiniello, C. et al. (2018)",3,0.9999,Lensed QSO
J0156-2751,29.104138,-27.856148,High-score candidate,2,1.4364,"CONFIRMED: J015624-275122, Dawes, C. et al. (2023), J015624-275122, He, Zizhao et al. (2023), J015624-275122, Lemon, C. et al. (2023)",2.67,1,Lensed QSO
J1138+0314,174.515571,3.249472,High-score candidate,4,1.44,"CONFIRMED: SDSSJ1138+0314, Inada, Naohisa et al. (2008)",2.67,0.9942,Lensed QSO
J1143+0154,175.79561,1.915585,Lower-score candidates,2,1.1129,,1.67,0.9991,
J1149-0201,177.463858,-2.021459,Lower-score candidates,2,1.9517,,1.67,0.9641,
J1149-0233,177.385076,-2.556872,Median-score candidate,2,2.3767,,2,0.9973,
J1151+0229,177.752851,2.483407,Median-score candidate,2,1.5136,"CANDIDATE: J177.75274+02.48334, Andika, I. et al. (2023)",2,0.9986,
J1151-0038,177.906751,-0.642537,Lower-score candidates,2,1.61,,1.67,0.9535,
J1158+0010,179.741379,0.168922,Median-score candidate,2,2.2051,,2,0.9497,
J1159+0237,179.866254,2.617053,Lower-score candidates,2,1.2202,,1.67,0.9908,
J1427-0132,216.996052,-1.544654,Lower-score candidates,2,1.4461,,1.67,1,
J1159-0041,179.934141,-0.69788,Median-score candidate,2,1.2734,,2,0.9969,
J1200-0337,180.211379,-3.620052,Median-score candidate,2,1.1931,,2,0.9996,
J1201+0239,180.287444,2.664622,High-score candidate,2,,,2.33,0.9921,
J1201+0331,180.412778,3.525288,Lower-score candidates,2,1.7571,,1.67,0.9998,
J1203+0103,180.87306,1.066056,Lower-score candidates,2,1.6245,,1.67,0.9982,
J1204+0009,181.177458,0.158236,Lower-score candidates,2,1.8839,,1.67,0.9476,
J1208+0035,182.187136,0.589636,Lower-score candidates,2,2.0081,,1.67,0.9997,
J1209+0349,182.269638,3.829278,Median-score candidate,2,1.2688,,2,0.983,
J1212+0145,183.107871,1.759234,Median-score candidate,2,1.6141,,2,0.9937,
J1159-0002,179.856203,-0.039111,Lower-score candidates,2,1.4692,,1.67,0.9985,
J1217+0321,184.276901,3.365415,Lower-score candidates,2,1.7233,,1.67,1,
J1121+0114,170.436527,1.239565,Median-score candidate,2,1.5327,"CANDIDATE: PSJ1121+0114, Rusu, Cristian E. et al. (2019), PSJ1121+0114, He, Zizhao et al. (2023)",2,1,
J1221-0133,185.367979,-1.562699,Lower-score candidates,2,2.0126,,1.67,0.9542,
J1222+0236,185.651975,2.613697,Lower-score candidates,2,1.2055,,2.33,0.9558,
J1224+0050,186.233403,0.846681,High-score candidate,4,6.23,"CONFIRMED: J4J122456.016+005048.05, Li, R. et al. (2020), J4J122456.016+005048.05, Napolitano, N. R. et al. (2020), J4J122456.016+005048.05, Cañameras, R. et al. (2021)",3,0.9613,Lensed Galaxy
J0047-2848,11.904101,-28.815896,Lower-score candidates,2,1.5431,,1.67,0.9823,
J1227+0019,186.989626,0.323763,Lower-score candidates,2,1.9586,,1.67,0.9565,
J1229-0122,187.444829,-1.371471,Lower-score candidates,2,1.6988,,1.67,0.9429,
J1231-0102,187.910952,-1.042703,Lower-score candidates,2,1.9583,,1.67,0.9933,
