name,RA,Dec,pmra,pmdec,pmra_error,pmdec_error,pm_sig,plx,plx_error,plx_sig,u,g,r,i,photo-z,specz,specz_cite
J0839-0056,129.945069,-0.937333,-1.34,0.234,0.222,0.172,4.843699952,0.2333,0.2222,1.049954995,20.541466,19.649548,19.169937,18.94898,0.23,,
J0847-0003,131.763359,-0.065975,-2.134,0.303,0.8,0.748,1.96801212,0.4283,0.6131,0.698580982,22.123652,21.00437,20.583868,20.433018,0.08,,
J0847-0003,131.763705,-0.065883,-2.134,0.303,0.8,0.748,1.96801212,0.4283,0.6131,0.698580982,21.322828,20.25826,19.911524,19.767061,0.02,,
J0848+0115,132.23371,1.261148,-0.381,0.634,0.462,0.409,1.198765973,-0.045,0.3796,0.118545838,19.139309,18.886719,19.053627,18.852705,1.81,0.646,DR16Q
J0848+0115,132.233758,1.260778,-0.381,0.634,0.462,0.409,1.198765973,-0.045,0.3796,0.118545838,19.901342,19.399828,19.307753,19.035587,0.1,,
J0848+0129,132.106421,1.483268,0.068,-0.357,0.837,0.631,0.346706138,-0.4023,0.7644,0.526295133,20.575659,19.509024,19.107943,18.954222,0.01,,
J0848+0129,132.106509,1.483768,0.068,-0.357,0.837,0.631,0.346706138,-0.4023,0.7644,0.526295133,20.34768,20.09864,19.871132,19.78475,0.02,,
J0858+0216,134.745647,2.273061,,,,,,,,,22.071035,20.919971,20.214163,19.90685,0.15,,
J0858+0216,134.746077,2.272765,,,,,,,,,19.80257,18.816141,18.447031,18.31937,0.03,,
J0900-0038,135.15956,-0.64524,-1.827,-3.116,0.802,0.42,3.989878807,-0.1965,0.6277,0.313047634,21.398632,20.75804,20.28666,20.089378,0.28,,
J0900-0038,135.159537,-0.645622,-1.827,-3.116,0.802,0.42,3.989878807,-0.1965,0.6277,0.313047634,21.165886,20.2737,19.892202,19.734488,0.04,,
J0907+0003,136.793675,0.056034,,,,,,,,,19.437502,19.770306,19.425457,19.08777,1.3,1.812,2SLAQ
J0907+0003,136.793753,0.0558,,,,,,,,,19.441307,19.71297,19.502977,19.037552,1.3,1.812,2SLAQ
J0910-0133,137.549069,-1.553926,-0.328,-3.438,1.473,1.216,1.808102602,0.9332,1.2641,0.738232735,21.505917,20.512033,20.136269,19.984167,0.02,,
J0910-0133,137.549453,-1.553742,-0.328,-3.438,1.473,1.216,1.808102602,0.9332,1.2641,0.738232735,20.780127,19.79281,19.535868,19.457804,0.03,,
J0913-0044,138.385922,-0.734751,-0.335,0.467,0.508,0.353,0.929072446,0.769,0.4955,1.551967709,20.059713,19.33524,19.411537,19.235455,0.02,,
J0913-0044,138.385443,-0.734984,-0.335,0.467,0.508,0.353,0.929072446,0.769,0.4955,1.551967709,19.724726,18.71063,18.412218,18.300898,0.03,2.393,DR18Q
J0916+0232,139.192377,2.543317,6.065,1.675,0.306,0.181,17.69797369,0.3897,0.2642,1.475018925,21.951014,20.204842,19.072773,18.601913,0.19,,
J0916+0232,139.192064,2.543049,6.065,1.675,0.306,0.181,17.69797369,0.3897,0.2642,1.475018925,21.704851,19.534576,18.355438,17.902248,0.14,,
J0919-0151,139.953105,-1.862932,,,,,,,,,23.193336,21.770254,20.216183,19.715914,0.34,,
J0921+0104,140.468772,1.078861,,,,,,,,,22.296732,21.892206,21.416239,21.516912,0.31,,
J0921+0104,140.468652,1.07927,,,,,,,,,21.836637,21.294764,20.803776,20.744633,0.28,,
J0921+0247,140.468756,2.796501,-11.75,-14.354,0.52,0.302,30.8479002,1.2837,0.4087,3.140934671,24.685736,21.471603,20.045113,18.85093,0.54,,
J0921+0247,140.468881,2.796993,-11.75,-14.354,0.52,0.302,30.8479002,1.2837,0.4087,3.140934671,23.834536,21.025276,19.609299,18.470053,0.53,,
J0923-0110,140.822829,-1.173646,,,,,,,,,22.884466,21.474228,20.96641,20.736725,0.08,,
J0923-0110,140.823223,-1.173463,,,,,,,,,22.601444,21.913952,21.328674,21.197523,0.27,,
J0924+0219,141.232598,2.323271,-0.196,-0.313,0.224,0.144,1.386830668,-0.1707,0.2018,0.845887017,20.049273,19.616852,19.184198,18.822655,0.65,1.525,DR16Q
J0924+0219,141.232582,2.323726,-0.196,-0.313,0.224,0.144,1.386830668,-0.1707,0.2018,0.845887017,19.008007,18.637646,18.30818,18.01711,0.66,,
J0925-0142,141.438466,-1.715273,,,,,,,,,23.874992,21.499884,20.122187,19.640053,0.43,,
J0925-0142,141.438953,-1.715142,,,,,,,,,22.96073,21.1502,19.80355,19.29848,0.43,,
J1001+0153,150.394734,1.888893,,,,,,,,,20.241589,19.29838,18.888727,18.653854,0.12,,
J1031+0347,157.998663,3.799418,-0.822,-2.559,1.499,1.034,1.475965773,-1.106,1.3122,0.84285932,21.876585,21.163363,20.792374,20.603527,0.19,,
J1031+0347,157.998455,3.799828,-0.822,-2.559,1.499,1.034,1.475965773,-1.106,1.3122,0.84285932,21.468138,20.644857,20.344011,20.237703,0.04,,
J1034+0345,158.618384,3.75993,,,,,,,,,24.126314,21.963709,20.609667,20.16379,0.15,,
J1034+0345,158.618257,3.760268,,,,,,,,,24.693819,22.863983,21.149286,20.76051,0.22,,
J1037+0018,159.366662,0.305736,,,,,,,,,17.80368,18.544285,18.274618,17.6608,0.35,,
J1042+0015,160.597316,0.255916,,,,,,,,,22.457285,21.692131,20.614727,19.88812,0.79,,
J1042+0015,160.597365,0.255511,,,,,,,,,22.812931,22.344294,21.611748,20.950481,0.75,,
J1042+0023,160.655244,0.383727,,,,,,,,,23.215137,20.776966,20.136719,20.076456,0.14,2.26,SPIN18
J1042+0023,160.655127,0.38409,,,,,,,,,23.416319,21.16443,20.45692,20.323986,0.16,2.26,SPIN18
